样本ID,P0,可行强度集,月级对照方案_P6,周级主方案_P6,ΔP6(月级-周级),月级对照方案总成本,周级主方案总成本,Δ成本(周级-月级),月级对照方案总时长(min),周级主方案总时长(min),Δ时长(周级-月级),周级主方案存在月内混合
141,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
142,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
149,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
150,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
158,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
161,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
175,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
178,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
179,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
180,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
185,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
191,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
192,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
193,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
194,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
197,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
200,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
201,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
202,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
203,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
208,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
212,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
215,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
218,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
220,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
222,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
230,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
231,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
233,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
244,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
246,58.0,"1,2,3",24.283443,24.160661,0.122781,1980,1998,18,6800,6860,60,1
247,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
252,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
263,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
265,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
267,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
273,56.0,"1,2,3",23.446083,23.327535,0.118548,1980,1998,18,6800,6860,60,1
280,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
281,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
283,58.0,"1,2,3",24.283443,24.160661,0.122781,1980,1998,18,6800,6860,60,1
288,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
289,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
290,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
291,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
293,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
295,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
298,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
308,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
313,65.0,1,39.413075,39.413075,0.0,1050,1050,0,2400,2400,0,0
314,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
315,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
317,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
321,56.0,"1,2,3",23.446083,23.327535,0.118548,1980,1998,18,6800,6860,60,1
322,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
331,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
335,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
339,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
342,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
347,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
349,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
350,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
353,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
355,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
358,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
361,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
364,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
365,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
370,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
376,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
380,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
387,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
389,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
399,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
400,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
404,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
407,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
411,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
412,56.0,"1,2,3",23.446083,23.327535,0.118548,1980,1998,18,6800,6860,60,1
413,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
416,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
417,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
422,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
427,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
428,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
432,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
433,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
437,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
441,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
442,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
445,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
449,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
451,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
459,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
460,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
468,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
470,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
472,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
477,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
479,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
482,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
485,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
488,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
489,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
491,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
497,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
499,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
500,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
503,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
519,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
520,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
523,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
524,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
526,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
536,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
541,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
552,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
553,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
559,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
567,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
568,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
574,56.0,1,33.95588,33.95588,0.0,900,900,0,2400,2400,0,0
575,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
590,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
592,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
605,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
606,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
608,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
609,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
612,62.0,"1,2,3",26.833157,26.56912,0.264037,2000,2000,0,6400,6530,130,1
620,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
630,56.0,1,33.95588,33.95588,0.0,900,900,0,2400,2400,0,0
633,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
634,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
636,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
642,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
643,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
646,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
649,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
651,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
661,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
675,60.0,"1,2,3",25.412905,25.33988,0.073026,1998,2000,2,6680,6700,20,1
679,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
681,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
696,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
698,56.0,1,33.95588,33.95588,0.0,900,900,0,2400,2400,0,0
700,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
710,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
711,61.0,"1,2,3",25.836454,25.762211,0.074243,1998,2000,2,6680,6700,20,1
712,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
713,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
715,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
719,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
720,64.0,"1,2,3",27.698743,27.426188,0.272554,2000,2000,0,6400,6530,130,1
722,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
723,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
724,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
726,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
729,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
733,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
735,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
736,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
737,63.0,"1,2,3",27.26595,26.997654,0.268296,2000,2000,0,6400,6530,130,1
741,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
742,63.0,"1,2",31.309821,31.309821,0.0,1480,1480,0,4800,4800,0,0
745,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
746,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
747,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
750,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
754,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
759,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
762,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
763,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
769,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
771,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
775,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
776,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
777,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
781,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
784,55.0,1,33.349525,33.349525,0.0,900,900,0,2400,2400,0,0
786,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
790,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
793,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
796,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
798,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
805,58.0,1,35.16859,35.16859,0.0,900,900,0,2400,2400,0,0
806,62.0,"1,2,3",26.833157,26.56912,0.264037,2000,2000,0,6400,6530,130,1
809,55.0,"1,2",27.333971,27.333971,0.0,1380,1380,0,4800,4800,0,0
811,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
818,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
819,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
826,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
827,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
830,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
836,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
838,62.0,"1,2,3",26.833157,26.56912,0.264037,2000,2000,0,6400,6530,130,1
842,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
845,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
846,57.0,"1,2",28.327934,28.327934,0.0,1380,1380,0,4800,4800,0,0
852,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
856,64.0,"1,2",31.806803,31.806803,0.0,1480,1480,0,4800,4800,0,0
862,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
864,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
865,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
868,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
873,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
874,60.0,"1,2",29.818877,29.818877,0.0,1430,1430,0,4800,4800,0,0
876,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
879,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
881,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
889,56.0,"1,2",27.830952,27.830952,0.0,1380,1380,0,4800,4800,0,0
898,58.0,"1,2,3",24.283443,24.160661,0.122781,1980,1998,18,6800,6860,60,1
908,59.0,1,35.774945,35.774945,0.0,950,950,0,2400,2400,0,0
909,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
913,61.0,1,36.987655,36.987655,0.0,950,950,0,2400,2400,0,0
916,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
918,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
920,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
926,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
931,61.0,"1,2",30.315859,30.315859,0.0,1430,1430,0,4800,4800,0,0
935,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
938,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
945,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
951,60.0,1,36.3813,36.3813,0.0,950,950,0,2400,2400,0,0
956,62.0,1,37.59401,37.59401,0.0,1000,1000,0,2400,2400,0,0
958,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
959,58.0,"1,2",28.824915,28.824915,0.0,1380,1380,0,4800,4800,0,0
962,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
963,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
970,57.0,1,34.562235,34.562235,0.0,900,900,0,2400,2400,0,0
976,64.0,1,38.80672,38.80672,0.0,1050,1050,0,2400,2400,0,0
983,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
991,59.0,"1,2",29.321896,29.321896,0.0,1430,1430,0,4800,4800,0,0
993,62.0,"1,2",30.81284,30.81284,0.0,1480,1480,0,4800,4800,0,0
998,65.0,"1,2",32.303784,32.303784,0.0,1480,1480,0,4800,4800,0,0
999,63.0,1,38.200365,38.200365,0.0,1000,1000,0,2400,2400,0,0
