id,S0,K,unconstrained_S6,unconstrained_C,unconstrained_rms,baseline_S6,baseline_C,baseline_rms,delta_S6,delta_C,unconstrained_fseq,baseline_fseq
35,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
36,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
40,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
46,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
49,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
51,64.0,"[1, 2]",38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
52,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
53,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
55,61.0,[1],36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
59,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
62,58.0,[1],37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
68,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
82,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
85,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
87,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
88,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
92,62.0,[1],37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
96,55.0,[1],37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
97,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
98,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
100,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
101,55.0,[1],37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
104,58.0,[1],37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
106,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
112,58.0,[1],37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
114,57.0,"[1, 2, 3]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
116,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
123,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
126,62.0,[1],37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
128,59.0,[1],37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
134,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
137,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
141,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
142,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
149,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
150,58.0,[1],37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
158,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
161,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
175,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
178,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
179,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
180,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
185,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
191,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
192,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
193,55.0,[1],37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
194,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
197,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
200,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
201,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
202,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
203,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
208,64.0,"[1, 2]",38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
212,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
215,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
218,55.0,"[1, 2]",37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
220,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
222,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
230,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
231,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
233,59.0,[1],37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
244,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
246,58.0,"[1, 2, 3]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
247,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
252,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
263,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
265,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
267,63.0,[1],38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
273,56.0,"[1, 2, 3]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
280,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
281,62.0,[1],37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
283,58.0,"[1, 2, 3]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
288,55.0,"[1, 2]",37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
289,55.0,[1],37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
290,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
291,63.0,[1],38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
293,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
295,57.0,[1],38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
298,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
308,55.0,[1],37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
313,65.0,[1],39.41307508736001,1050.0,0.0,39.41307508736001,1050.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
314,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
315,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
317,61.0,[1],36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
321,56.0,"[1, 2, 3]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
322,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
331,55.0,"[1, 2]",37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
335,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
339,65.0,"[1, 2]",38.55626910720001,1060.0,0.4472135954999579,38.55626910720001,1060.0,0.4472135954999579,0.0,0.0,"(9, 10, 10, 10, 10, 10)","(9, 10, 10, 10, 10, 10)"
342,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
347,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
349,56.0,"[1, 2]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
350,55.0,"[1, 2]",37.072977483520006,780.0,2.23606797749979,38.29063907855999,744.0,1.4832396974191326,1.217661595039985,-36.0,"(5, 5, 10, 10, 10, 10)","(5, 5, 8, 9, 10, 10)"
353,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
355,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
358,60.0,[1],38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
361,63.0,[1],38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
364,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
365,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
370,57.0,[1],38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
376,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
380,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
387,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
389,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
399,64.0,"[1, 2]",38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
400,59.0,[1],37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
404,59.0,[1],37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
407,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
411,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
412,56.0,"[1, 2, 3]",37.747031619584,780.0,2.23606797749979,37.763950952448,780.0,1.4832396974191326,0.01691933286399916,0.0,"(5, 5, 10, 10, 10, 10)","(5, 6, 9, 10, 10, 10)"
413,62.0,[1],37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
416,65.0,"[1, 2]",38.55626910720001,1060.0,0.4472135954999579,38.55626910720001,1060.0,0.4472135954999579,0.0,0.0,"(9, 10, 10, 10, 10, 10)","(9, 10, 10, 10, 10, 10)"
417,60.0,"[1, 2]",38.358544650240006,890.0,2.23606797749979,37.56764682240001,914.0,1.3416407864998738,-0.7908978278399985,24.0,"(5, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 7)"
422,59.0,[1],37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
427,59.0,[1],37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
428,61.0,"[1, 2]",36.987655081984016,950.0,0.0,36.987655081984016,950.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
432,57.0,"[1, 2]",38.421085755648,780.0,2.23606797749979,37.637509152384,804.0,1.4832396974191326,-0.7835766032640024,24.0,"(5, 5, 10, 10, 10, 10)","(5, 8, 9, 10, 10, 10)"
433,63.0,"[1, 2]",38.20036508467201,1000.0,0.0,38.20036508467201,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
437,58.0,[1],37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
441,62.0,"[1, 2]",37.59401008332801,1000.0,0.0,37.59401008332801,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
442,64.0,[1],38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
445,59.0,"[1, 2]",37.719235572736004,890.0,2.23606797749979,37.736142446592005,890.0,1.4142135623730951,0.016906873856001425,0.0,"(5, 10, 10, 10, 10, 10)","(6, 9, 10, 10, 10, 10)"
449,64.0,"[1, 2]",38.80672008601601,1000.0,0.0,38.80672008601601,1000.0,0.0,0.0,0.0,"(10, 10, 10, 10, 10, 10)","(10, 10, 10, 10, 10, 10)"
451,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
459,58.0,"[1, 2]",37.079926495232,840.0,3.1622776601683795,37.495434412032,828.0,1.2649110640673518,0.41550791679999577,-12.0,"(10, 10, 5, 10, 10, 10)","(10, 10, 10, 10, 8, 6)"
